fwy,dir,sta_from,sta_to,mid_x,mid_y,x1,y1,x2,y2,speed_pm_mph,vol_day_veh,cell_euclidean_mid,cell_weighted_mid
5,N,718086,716933,5961.665538886301,-5451.712849637016,6449.072309444914,-5702.683789637343,5474.258768327688,-5200.741909636689,23.008306444656988,8511.0,13,13
5,N,716933,759566,5106.917008698721,-5191.001409636761,5474.258768327688,-5200.741909636689,4739.575249069753,-5181.260909636833,22.249990719451837,9940.0,13,13
5,N,759566,759576,4476.483485489251,-5132.057469636877,4739.575249069753,-5181.260909636833,4213.391721908748,-5082.854029636921,23.23988240693431,9682.0,13,13
5,N,759576,716937,3767.0209957921343,-4851.308429636985,4213.391721908748,-5082.854029636921,3320.650269675521,-4619.76282963705,29.349537285698077,9804.0,16,16
5,N,716937,763700,3059.7716860202936,-4482.393949637031,3320.650269675521,-4619.76282963705,2798.893102365066,-4345.025069637011,37.79413789343124,7152.5,16,16
5,N,763700,716942,2624.881830764285,-2603.590649637069,2798.893102365066,-4345.025069637011,2450.870559163504,-862.1562296371271,47.414696042039,5630.5,45,45
5,N,716942,763237,2230.2441853935306,135.7162503627461,2450.870559163504,-862.1562296371271,2009.6178116235576,1133.5887303626193,58.01883826989353,7208.5,47,47
5,N,763237,716951,1348.5225248703832,1684.7897103626933,2009.6178116235576,1133.5887303626193,687.4272381172091,2235.990690362767,62.01387105417864,8055.0,54,54
5,N,716951,718371,456.1960438733502,2426.904490362856,687.4272381172091,2235.990690362767,224.9648496294914,2617.818290362945,60.022139453789606,10309.0,54,54
5,N,718371,716953,54.91885872808036,2825.2631103628237,224.9648496294914,2617.818290362945,-115.12713217333068,3032.707930362702,58.09979503192655,11596.5,5,5
5,N,716953,763674,-396.6159538801872,3417.65249036292,-115.12713217333068,3032.707930362702,-678.1047755870437,3802.5970503631384,58.03193772792704,9498.5,5,5
5,N,763674,763669,-877.3831846642847,4010.4314903632194,-678.1047755870437,3802.5970503631384,-1076.6615937415256,4218.265930363301,58.45582713618174,7410.5,5,5
