fwy,dir,sta_from,sta_to,mid_x,mid_y,speed_pm_mph,vol_day_veh,cell_euclidean,cell_weighted
5,N,716974,716978,-6959.155510552996,12986.942330356429,68.76525570535513,52511.0,25,25
5,N,716978,716981,-7774.297341667107,13769.076650356403,68.76525570535513,52511.0,25,25
5,N,716981,716985,-8628.630900619148,14539.411050356506,66.28510725870402,64553.0,32,25
5,N,716985,716988,-9502.606431405467,15585.652070356466,65.3977376439325,83409.5,32,49
5,N,716988,716990,-10798.930464539213,16770.764790356607,67.43187582460828,86455.0,49,49
5,N,716990,716994,-11995.015890238195,17506.423010356855,66.61484635994009,86916.5,49,49
5,N,716994,761644,-12747.220417235763,17754.555290356835,65.45368302017306,85641.0,49,49
5,N,761644,716997,-13393.837818646312,17818.45297035687,66.65315570324589,83760.5,49,49
5,N,716997,717000,-14211.14672177071,18077.049330356924,68.03175337225629,87514.5,49,49
5,N,717000,775462,-15393.722528344417,18660.755750356795,65.92600051874003,88609.5,49,49
5,N,775462,764156,-16098.804766106623,19113.38287035659,64.10365417930578,84961.0,49,49
5,N,764156,718389,-16423.220056774535,19481.462450356674,66.30644654706688,111752.5,49,48
5,N,718389,718092,-16750.724577753786,19856.332550356623,63.619664133308476,157664.5,49,48
5,N,718092,768682,-16998.692945180534,20141.5900503566,62.63428066087927,151007.0,48,48
5,N,768682,768664,-17416.292332273155,20623.828290356774,65.80079881368951,105289.0,48,48
5,N,768664,768655,-17791.795192875798,21056.41781035653,67.2340743725303,90990.0,48,48
5,N,768655,759617,-18254.395905108475,21683.149410356535,68.18814100720328,83695.5,48,48
5,N,759617,718394,-18705.331314819945,22309.324410356756,64.88813645916801,65729.0,12,48
5,N,718394,759834,-19122.88459399692,22859.80181035668,62.509607803473116,61121.0,12,12
5,N,759834,759626,-19586.223032871356,23459.482650356556,63.83095450766544,59005.0,12,12
5,N,759626,759636,-20912.01002375652,25049.855830356642,66.13454587312991,95477.0,26,12
5,N,759636,774092,-22389.445947416745,26871.997250356493,64.45949383022901,123935.5,29,29
5,N,774092,718404,-23028.73219032601,27739.23571035635,62.8658301965412,111253.5,29,29
5,N,718404,775535,-23798.642156723814,28528.16055035658,62.12489231401402,116736.5,29,29
5,N,775535,763641,-24434.239766424937,29294.598750356632,61.0109336406851,92175.0,50,29
5,N,763641,775520,-24695.62553714633,29791.69821035646,64.65925945089424,47372.0,50,29
5,N,775520,716007,-25512.519469034534,30222.89623035657,67.49959796797052,45718.0,50,29
5,N,716007,759648,-27648.83749952331,31867.64923035659,67.44025503214924,46255.0,50,29
5,N,759648,768138,-29147.160308725084,33347.8156103565,65.86599827037858,88432.5,50,29
5,N,768138,769091,-29842.467668485137,34965.74049035663,64.49806021658931,136433.0,50,50
5,N,769091,759654,-30652.72206059817,37195.98103035677,66.63165796097222,94472.0,50,50
5,N,759654,759666,-31243.180021412965,38904.353410356736,68.76525570535513,52511.0,50,50
5,N,759666,716017,-31810.445700930955,40198.05879035678,68.75471798885994,56726.0,50,50
5,N,716017,769029,-32308.18064447288,40890.58051035678,66.95735591137986,115747.5,50,50
5,N,769029,769042,-32767.415478902985,41340.758590356825,65.16950442496164,140819.5,50,50
5,N,769042,769054,-33150.66446924311,41630.19059035694,51.927936042496654,80797.5,50,50
5,N,769054,759672,-33944.320011919524,42677.04387035694,39.366756353619834,50936.5,50,50
5,N,759672,759677,-34953.94502893978,45750.70039035697,49.86863485714973,45545.0,50,50
5,S,762398,715898,20552.1003021426,-20988.867889643072,67.93207531391988,85067.0,21,21
5,S,715898,716898,19988.799903323976,-20622.847729643327,67.98210719668425,85071.0,21,21
5,S,716898,763748,19098.871033912168,-20042.48090964333,67.98210719668425,85071.0,21,18
5,S,763748,763706,17924.410220396494,-19275.820069643047,68.41910844239817,68788.5,18,18
5,S,763706,716907,17079.067704889858,-18715.936129643145,68.8561096881121,52506.0,18,18
5,S,716907,716906,16537.207486593943,-18309.89642964319,68.41910844239817,68788.5,18,18
5,S,716906,716908,15971.740015765034,-17730.75412964327,67.98210719668425,85071.0,18,18
5,S,716908,716912,15120.818442531207,-16795.554809643352,67.98210719668425,85071.0,28,18
5,S,716912,715920,14048.578876799982,-15266.574609643298,61.281093390448675,102950.0,28,28
5,S,715920,763990,13003.681304724876,-13475.10184964353,52.60630654362261,123702.5,28,28
5,S,763990,716916,12284.812800346814,-12453.573869643662,51.0424688511402,119034.0,28,28
5,S,716916,716918,11951.590897894097,-12159.911709643548,51.84688078674118,116511.0,28,28
5,S,716918,716895,11521.035186658011,-11771.961509643403,56.52540599246329,125445.5,28,28
5,S,716895,715929,11027.44995547541,-11021.553389643217,61.55991251788826,127367.5,28,11
5,S,715929,716920,10746.975507901545,-10320.627009643078,63.45203157264927,121210.5,28,13
5,S,716920,768523,10389.63916585032,-9763.136449643065,64.33144800423756,119854.0,28,13
5,S,768523,716922,9925.747431994072,-9219.672209643231,63.05008194820769,118171.5,13,13
5,S,716922,763980,9407.77111372173,-8635.9101296435,60.772145549445256,121338.0,13,13
5,S,763980,716924,9007.738842284387,-8151.055869643605,57.83881480663733,123294.5,13,13
5,S,716924,718364,8588.84843356951,-7580.874829643597,53.37171650687617,118473.0,13,13
5,S,718364,716928,8008.995293227947,-6876.386209643353,41.57490968173893,118794.0,13,13
5,S,716928,718085,7544.089185239363,-6388.025369643214,38.572876804149786,119822.0,13,13
5,S,718085,716930,7132.529935026428,-6057.571949643445,43.80751245746249,124163.5,13,13
5,S,716930,715947,6670.390301944275,-5829.588589643612,43.94206476852453,112160.0,13,3
5,S,715947,716934,5960.512841010965,-5476.1475896433485,44.67509092137975,129109.5,13,16
5,S,716934,716936,5141.682376688717,-5211.039009643122,48.495497116811116,160828.5,13,16
5,S,716936,759700,4502.257810034496,-5150.814889643306,60.53459250857895,122939.0,13,16
5,S,759700,759707,3758.0299523500007,-4871.346029643346,68.58419986813601,85040.0,16,16
5,S,759707,716938,2758.17981333125,-4422.058509643428,68.77250442337201,68774.0,16,16
5,S,716938,716939,2149.4170102200774,-3514.9118296434817,65.21007053824316,83384.0,16,16
5,S,716939,716940,2264.8251217242378,-2471.231169643385,61.692401448013456,117269.0,45,47
5,S,716940,716941,2449.02624256271,-1585.8475496434648,63.25406367000746,115871.0,47,47
5,S,716941,716943,2445.890904335073,-961.2310296436591,59.61867131005964,102283.5,47,47
5,S,716943,716944,2307.1982957034825,-290.30538964370805,44.17244321766248,102871.0,47,47
5,S,716944,716946,1953.8272343509739,930.708030356359,35.07172866621378,100728.0,47,47
5,S,716946,716949,1454.6168375261914,1700.485830356681,37.19384487948187,105984.0,47,47
5,S,716949,718370,698.2625981686505,2216.28705035675,41.63764605475518,133171.5,5,5
5,S,718370,716955,-27.66041722012119,2896.173950356619,47.05546444555978,141149.5,5,5
5,S,716955,718375,-481.77727307356025,3487.1718303566695,35.531690679216126,121484.0,5,22
5,S,718375,718376,-895.2269478062065,3995.4032903564716,21.751949667775158,103700.5,5,22
5,S,718376,716958,-1628.4811216969206,4579.0540503564835,24.364761088654987,111357.5,5,22
5,S,716958,716960,-2423.4737939112374,5344.212070356605,28.506050243749186,111198.0,5,22
5,S,716960,718089,-2790.49279813464,6014.525450356519,39.492140879683376,104202.0,5,22
5,S,718089,718379,-3155.6674857539733,7323.370350356702,53.179792829994014,120596.0,25,42
5,S,718379,718090,-3497.0504891797086,8741.364510356965,60.076910349423926,130251.0,25,42
5,S,718090,759747,-4081.560528946102,9579.882410356959,61.00155835198596,112843.5,25,42
5,S,759747,764417,-4757.087593126915,10355.114890356956,63.299904594712345,93128.5,25,42
5,S,764417,716965,-4951.063591967541,10707.220050356636,67.36893006317234,95955.0,25,42
5,S,716965,759762,-5262.384234746369,10998.377510356353,67.81053620027217,79679.0,25,42
5,S,759762,759772,-5616.400806910662,11319.313070356424,68.76525570535513,52511.0,25,42
5,S,759772,759783,-5917.80824794172,11782.237290356714,68.32364956825532,68787.0,25,25
5,S,759783,716977,-6567.238232173686,12646.525770356899,67.8820434311555,85063.0,25,25
5,S,716977,716975,-7109.974500856975,13203.070110356533,67.8820434311555,85063.0,25,25
5,S,716975,716979,-7735.151721744816,13721.765650356414,67.8820434311555,85063.0,25,25
5,S,716979,716983,-8651.408210680409,14534.84693035656,65.82903439637822,73006.5,32,25
5,S,716983,716986,-9449.305681545462,15506.058270356512,65.88927011452691,73498.5,32,49
5,S,716986,716989,-10347.672299421523,16629.72235035637,66.76569737338323,89438.5,49,49
5,S,716989,716991,-11146.169173183374,17217.658930356636,66.94552261973371,89799.5,49,49
5,S,716991,716993,-11889.336548820547,17477.81377035671,68.00702828442107,88669.0,49,49
5,S,716993,716996,-12857.971629314437,17731.28941035665,66.38269364915499,86892.0,49,49
5,S,716996,716999,-13501.960879564827,17796.188970356918,66.71532760699793,86149.0,49,49
5,S,716999,717001,-14215.619189536248,18056.176830356628,67.19225648315432,91958.0,49,49
5,S,717001,717002,-15404.511780478904,18639.27099035646,64.55469688448567,91149.0,49,49
5,S,717002,764151,-16114.52756515652,19097.40845035658,62.95933987413713,89355.0,49,49
5,S,764151,715996,-16402.840358298497,19425.69113035669,65.30423377175546,119237.5,49,48
5,S,715996,717004,-16688.340568619053,19752.47099035664,67.3797178748775,143574.0,49,48
5,S,717004,717006,-16973.14916021284,20078.91689035664,65.17392631648042,151535.5,49,48
5,S,717006,759228,-17436.948678239114,20605.73879035657,65.25950925972097,157555.0,48,48
5,S,759228,759250,-17815.725200814355,21035.65663035635,66.20712047731789,151165.5,48,48
5,S,759250,718392,-18205.29097552343,21538.48907035673,66.14830415360035,113606.5,48,48
5,S,718392,718393,-18652.491644111775,22168.33763035677,66.30054150274637,73153.5,12,48
5,S,718393,759822,-18960.12365368181,22590.685710356684,66.7800440580652,78962.5,12,12
5,S,759822,759844,-19187.89675429312,22910.67505035677,65.48019801521227,86260.5,12,12
5,S,759844,759835,-19364.536177054717,23168.492170356818,65.37165141672227,85468.5,12,12
5,S,759835,759850,-19530.939642662976,23361.075770356645,67.67539736661897,74099.0,12,12
5,S,759850,759858,-20696.178873157653,24742.334330356323,68.15694575575651,94027.5,26,12
5,S,759858,718405,-22245.95811561471,26652.084590356455,68.64849391409632,121910.0,29,12
5,S,718405,774344,-22973.587123861933,27659.80889035677,64.68350761988148,109808.5,29,29
5,S,774344,775536,-23741.376126165094,28445.78375035693,61.882906485979646,105266.0,29,29
