fwy,dir,sta_from,sta_to,mid_x,mid_y,x1,y1,x2,y2,speed_pm_mph,vol_day_veh,cell_euclidean_mid,cell_weighted_mid
110,S,774703,759418,-3739.117043473044,-16006.462989643544,-3744.4655616253012,-16038.189189643332,-3733.7685253207865,-15974.736789643757,67.65501612772505,62809.0,0,0
110,S,759418,759416,-3732.385287867899,-15966.777409643682,-3733.7685253207865,-15974.736789643757,-3731.0020504150116,-15958.818029643608,66.3040431450325,60137.0,0,0
110,S,759416,763299,-3709.7924094672403,-15668.940749643429,-3731.0020504150116,-15958.818029643608,-3688.582768519469,-15379.06346964325,65.53989596011087,54699.5,0,0
110,S,763299,763377,-3652.3419472479163,-14991.948169643372,-3688.582768519469,-15379.06346964325,-3616.101125976364,-14604.832869643493,66.86519401133353,73457.5,0,0
110,S,763377,716500,-3615.1328597596703,-13739.208549643517,-3616.101125976364,-14604.832869643493,-3614.164593542977,-12873.58422964354,65.05761929435604,108145.5,0,0
110,S,716500,763294,-3651.004817710671,-12458.026669643492,-3614.164593542977,-12873.58422964354,-3687.8450418783655,-12042.469109643445,59.99354791781056,109534.5,0,0
110,S,763294,763286,-3684.479164075793,-11815.59894964357,-3687.8450418783655,-12042.469109643445,-3681.1132862732206,-11588.728789643696,55.98381131715358,93658.5,0,0
110,S,763286,763275,-3682.3120920655047,-11247.199029643416,-3681.1132862732206,-11588.728789643696,-3683.510897857789,-10905.669269643136,54.05983878884645,89601.5,0,9
110,S,763275,763267,-3684.7097036507284,-10273.705629643293,-3683.510897857789,-10905.669269643136,-3685.9085094436673,-9641.741989643448,53.06558603116831,90384.5,0,9
110,S,763267,763259,-3675.3497968847687,-9216.388269643217,-3685.9085094436673,-9641.741989643448,-3664.7910843258705,-8791.034549642987,55.95730984146227,90377.5,9,9
110,S,763259,763251,-3683.8336532640087,-7989.419229643158,-3664.7910843258705,-8791.034549642987,-3702.876222202147,-7187.8039096433295,47.24973090755955,82872.0,9,9
110,S,763251,718041,-3706.0115604291286,-6798.796169643483,-3702.876222202147,-7187.8039096433295,-3709.146898656111,-6409.788429643636,45.979256972699744,87008.5,9,9
110,S,718041,763246,-3700.7552581068453,-6059.798349643361,-3709.146898656111,-6409.788429643636,-3692.36361755758,-5709.808269643085,53.690309238761145,88887.0,9,9
110,S,763246,763447,-3647.223968671249,-5553.348009643412,-3692.36361755758,-5709.808269643085,-3602.0843197849185,-5396.887749643739,51.17627976747655,87265.5,9,9
110,S,763447,764037,-3384.224420921376,-4959.956749643472,-3602.0843197849185,-5396.887749643739,-3166.3645220578333,-4523.025749643204,52.94319462445219,96606.0,9,9
110,S,764037,775636,-3131.5069382398237,-4207.155249643397,-3166.3645220578333,-4523.025749643204,-3096.649354421814,-3891.2847496435893,60.65934992921403,87365.0,9,51
110,S,775636,718166,-3078.7133754466413,-3597.9008896435635,-3096.649354421814,-3891.2847496435893,-3060.777396471469,-3304.517029643537,54.749088679608136,64435.0,9,51
110,S,718166,760635,-3036.4785252117026,-3109.5957096432835,-3060.777396471469,-3304.517029643537,-3012.179653951936,-2914.67438964303,50.03173630612264,81902.5,9,51
110,S,760635,774671,-2993.2293008444276,-2836.7503896432113,-3012.179653951936,-2914.67438964303,-2974.278947736919,-2758.8263896433928,56.61760534771891,83877.5,9,51
